unique_id,best_model
hotel_0,AutoARIMA
hotel_105,AutoARIMA
hotel_112,AutoARIMA
hotel_126,Naive
hotel_133,AutoETS
hotel_14,AutoARIMA
hotel_21,Naive
hotel_28,Naive
hotel_35,AutoETS
hotel_42,AutoARIMA
hotel_49,AutoETS
hotel_56,Naive
hotel_63,AutoETS
hotel_7,AutoARIMA
hotel_70,Naive
hotel_77,SeasonalNaive
hotel_84,AutoARIMA
hotel_91,AutoETS
hotel_98,AutoARIMA
hotel_0,LightGBM
hotel_105,LightGBM
hotel_112,LightGBM
hotel_126,LightGBM
hotel_133,XGBoost
hotel_14,LightGBM
hotel_21,XGBoost
hotel_28,LightGBM
hotel_35,LightGBM
hotel_42,LightGBM
hotel_49,LightGBM
hotel_56,XGBoost
hotel_63,XGBoost
hotel_7,XGBoost
hotel_70,LightGBM
hotel_77,LightGBM
hotel_84,XGBoost
hotel_91,XGBoost
hotel_98,XGBoost
hotel_0,NHITS
hotel_105,NBEATS
hotel_112,NBEATS
hotel_126,NBEATS
hotel_133,NHITS
hotel_14,NHITS
hotel_21,NHITS
hotel_28,NHITS
hotel_35,NHITS
hotel_42,NHITS
hotel_49,NBEATS
hotel_56,NBEATS
hotel_63,NHITS
hotel_7,NHITS
hotel_70,NBEATS
hotel_77,NHITS
hotel_84,NHITS
hotel_91,NHITS
hotel_98,NBEATS
hotel_0,chronos
hotel_105,chronos
hotel_112,chronos
hotel_126,chronos
hotel_133,chronos
hotel_14,chronos
hotel_21,chronos
hotel_28,chronos
hotel_35,chronos
hotel_42,chronos
hotel_49,chronos
hotel_56,chronos
hotel_63,chronos
hotel_7,chronos
hotel_70,chronos
hotel_77,chronos
hotel_84,chronos
hotel_91,chronos
hotel_98,chronos
